,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
91,"""002349""",精华制药,12.95,5.2,0.64,781598,995233782.79,8.37,13.2,12.17,12.33,12.31,3.17,9.63,46.83,4.47
92,"""605319""",无锡振华,16.62,5.19,0.82,61907,102585799.0,5.82,16.8,15.88,15.88,15.8,2.02,8.84,55.73,1.87
93,"""002946""",新乳业,16.54,5.15,0.81,289333,476474572.53,8.71,17.04,15.67,15.75,15.73,1.23,3.42,34.65,5.68
94,"""300961""",深水海纳,11.64,5.15,0.57,87943,101426472.41,5.69,11.74,11.11,11.11,11.07,4.15,7.15,87.14,1.95
95,"""603439""",贵州三力,17.59,5.14,0.86,468405,820048259.0,11.6,18.34,16.4,16.9,16.73,2.91,28.86,52.17,6.31
96,"""600100""",同方股份,5.94,5.13,0.29,2518825,1505829205.0,9.73,6.22,5.67,5.75,5.65,2.45,8.5,-18.13,1.32
97,"""300044""",赛为智能,4.92,5.13,0.24,1226858,584141987.11,7.26,4.94,4.6,4.71,4.68,0.72,18.33,-94.22,3.77
98,"""000703""",恒逸石化,8.23,5.11,0.4,601806,492852838.86,6.9,8.39,7.85,7.91,7.83,1.53,1.65,17.18,1.11
99,"""002781""",*ST奇信,3.91,5.11,0.19,213970,81145391.01,7.8,3.91,3.62,3.62,3.72,0.8,9.56,-3.91,-2.19
100,"""600242""",*ST中昌,1.45,5.07,0.07,166056,24060473.0,1.45,1.45,1.43,1.45,1.38,0.95,3.68,-5.74,-16.52
101,"""603896""",寿仙谷,46.44,5.07,2.24,37167,170673077.0,6.99,47.17,44.08,44.21,44.2,2.03,1.88,52.78,5.49
102,"""300485""",赛升药业,13.75,5.04,0.66,264350,357461212.93,7.79,13.97,12.95,13.1,13.09,2.43,9.78,19.66,1.94
103,"""002462""",嘉事堂,16.25,5.04,0.78,239423,380506618.82,6.79,16.25,15.2,15.45,15.47,2.99,8.23,14.39,1.18
104,"""600671""",ST目药,9.39,5.03,0.45,32222,30249703.0,1.01,9.39,9.3,9.39,8.94,3.63,2.65,-28.35,73.32
105,"""002875""",安奈儿,17.56,5.02,0.84,311976,542384733.28,8.13,17.97,16.61,16.68,16.72,2.91,25.47,-18.24,3.72
106,"""000560""",我爱我家,3.35,5.02,0.16,1292609,431105379.05,7.84,3.43,3.18,3.21,3.19,1.28,5.75,-27.02,0.76
107,"""002362""",汉王科技,37.8,5.0,1.8,699842,2590113942.74,9.58,38.45,35.0,35.8,36.0,1.06,33.83,-152.96,6.23
108,"""601666""",平煤股份,11.35,5.0,0.54,717170,812436432.0,6.66,11.52,10.8,10.81,10.81,3.11,3.13,4.17,1.27
109,"""688683""",莱尔科技,25.46,4.99,1.21,29451,74576830.0,7.51,25.98,24.16,24.25,24.25,1.23,5.37,74.95,4.02
110,"""600532""",*ST未来,13.89,4.99,0.66,174058,235203950.0,7.63,13.89,12.88,13.89,13.23,2.14,3.37,-150.65,4.13
111,"""002162""",悦心健康,5.71,4.96,0.27,1149464,648922787.54,9.38,5.88,5.37,5.44,5.44,2.61,12.41,-46.37,4.41
112,"""300948""",冠中生态,13.98,4.95,0.66,69855,98144547.53,10.06,14.66,13.32,13.32,13.32,5.59,10.03,35.39,2.35
113,"""000752""",*ST西发,4.88,4.95,0.23,122486,59342589.24,4.09,4.88,4.69,4.69,4.65,1.69,4.64,-22.55,-168.99
114,"""002086""",ST东洋,2.76,4.94,0.13,44113,12175188.0,0.0,2.76,2.76,2.76,2.63,0.68,0.7,-106.46,5.17
115,"""300397""",天和防务,10.9,4.91,0.51,282320,304102266.34,7.8,11.14,10.33,10.4,10.39,2.04,7.05,-127.83,2.9
116,"""603605""",珀莱雅,191.09,4.89,8.91,28909,550463561.0,8.43,195.35,180.0,180.43,182.18,1.3,1.03,82.04,17.32
117,"""002413""",雷科防务,5.17,4.87,0.24,897578,462180806.35,9.94,5.42,4.93,4.96,4.93,4.2,7.28,-192.67,1.37
118,"""301333""",诺思格,118.93,4.87,5.52,8074,95288875.14,8.31,121.48,112.05,112.8,113.41,1.17,5.38,63.83,4.58
119,"""002261""",拓维信息,9.48,4.87,0.44,3765180,3691156178.07,5.09,9.94,9.48,9.8,9.04,2.39,33.74,86.82,3.27
